가구원수,취업인원수,가구주_연령,비동거취업미혼자녀수,비동거학업미혼자녀수,비동거기타미혼자녀수,자동차보유대수,월세평가금액,전세보증금,월세사글세,주거용전용면적,주택소유유무,가계지출금액,가계지출_소비지출금액
1,0,60,0,0,0,0,615,0,0,114,2,1335999,1335999
1,0,60,0,0,0,1,150,0,150,10,2,935200,935200
1,0,60,0,0,0,1,250,30000,0,40,2,573330,551270
1,0,60,0,0,0,1,300,0,0,40,1,678176,646886
1,0,60,0,0,0,1,550,0,0,60,1,2608840,2225193
1,0,60,0,0,0,1,560,0,0,84,1,2372421,2005475
1,0,60,0,0,0,1,600,0,0,72,1,1722926,1503352
1,0,60,0,0,0,1,640,0,0,59,1,1091218,1052421
1,0,60,0,0,2,0,300,32000,0,36,1,1295384,1177924
1,0,60,1,0,0,0,700,0,0,69.03,1,1298954,1128312
1,0,60,1,0,0,1,249,16739,171,36,2,1478839,1478839
1,0,60,1,0,0,1,350,0,0,102,1,3600667,2979218
1,0,60,1,0,0,1,560,0,0,84,1,1976987,1724747
1,0,60,1,1,0,1,100,2000,83,50,2,1105922,1021063
1,0,60,2,0,0,0,250,50000,0,40,1,1085355,1010355
1,0,60,2,0,0,1,300,2000,220,33,2,1279354,1087050
1,0,61,0,0,0,0,114,0,0,41,1,1158402,883260
1,0,61,0,0,0,0,125,60000,83,40,2,923093,911093
1,0,61,0,0,0,0,1400,0,0,79,1,808525,783525
1,0,61,0,0,0,0,155,0,0,36,1,266316,250366
1,0,61,0,0,0,0,200,5000,0,48,2,657527,637527
1,0,61,0,0,0,0,200,5000,150,18,2,2444362,2263489
1,0,61,0,0,0,0,300,0,300,72.31,2,1380613,1380613
1,0,61,0,0,0,0,311,3000,300,35,2,849745,841412
1,0,61,0,0,0,0,315,15000,270,73,2,1006841,998508
1,0,61,0,0,0,0,350,70000,0,26,1,945222,781839
1,0,61,0,0,0,0,410,2000,400,33,2,1168247,1147880
1,0,61,0,0,0,0,500,0,0,51,1,1944973,1260270
1,0,61,0,0,0,0,600,18500,236,51,2,966146,966146
1,0,61,0,0,0,0,81,12483,69,35,2,1705002,1274472
1,0,61,0,0,0,1,140,0,0,43,1,1668360,1539994
1,0,61,0,0,0,1,241,4385,102,36,2,953229,950729
1,0,61,0,0,0,1,350,0,0,57,1,885939,746481
1,0,61,0,0,0,1,400,0,200,72,2,1346276,844542
1,0,61,0,0,0,1,600,0,0,72,1,1140143,845060
1,0,61,0,0,0,1,700,0,0,123,1,2241468,1580442
1,0,61,0,0,0,1,700,0,0,148,1,1759707,1460684
1,0,61,0,0,0,1,700,0,0,59,1,2375042,1886808
1,0,61,0,0,1,0,200,0,0,56,2,734492,693840
1,0,61,1,0,0,0,410,0,0,57,1,779328,703655
1,0,61,1,0,0,1,400,26500,70,46,2,1291041,1190533
1,0,61,2,0,0,1,182,33000,73,36,2,1069447,1002157
1,0,62,0,0,0,0,100,0,100,25,2,690620,682175
1,0,62,0,0,0,0,1330,0,0,84,1,814880,630854
1,0,62,0,0,0,0,150,0,0,40,1,219580,219580
1,0,62,0,0,0,0,152,500,150,15,2,515717,515717
1,0,62,0,0,0,0,160,5000,140,25,2,1056271,1056271
1,0,62,0,0,0,0,200,0,0,116,1,670460,556877
1,0,62,0,0,0,0,200,5000,150,18,2,1285679,1049846
1,0,62,0,0,0,0,220,0,0,60,1,720449,595928
1,0,62,0,0,0,0,225,5000,200,48,2,1003412,973412
1,0,62,0,0,0,0,270,5000,255,50,2,660585,640585
1,0,62,0,0,0,0,280,0,0,45,1,886590,834803
1,0,62,0,0,0,0,280,1000,250,79,2,1704712,1663506
1,0,62,0,0,0,0,280,3000,250,33,2,1071794,1071794
1,0,62,0,0,0,0,300,0,0,36,1,774175,631096
1,0,62,0,0,0,0,300,0,0,49,1,1099996,943526
1,0,62,0,0,0,0,350,0,0,66,2,711336,711336
1,0,62,0,0,0,0,400,10000,350,21,2,1061382,1006382
1,0,62,0,0,0,0,428,0,0,82,1,916242,739368
1,0,62,0,0,0,0,430,5000,300,40,2,1646162,1624982
1,0,62,0,0,0,0,700,0,0,60,1,929361,680245
1,0,62,0,0,0,1,1100,0,0,84,1,1055204,1055204
1,0,62,0,0,0,1,230,0,0,31,1,8413971,7401571
1,0,62,0,0,0,1,300,0,0,85,1,820181,785014
